department,pic_url
A2 Consulting,https://i.postimg.cc/26kgnPLH/2Wvc5z4.jpg
Consulting & Delivery,https://i.postimg.cc/XJn6Qrmk/9eA8ULH.jpg
Data Platform группа #1,https://i.postimg.cc/rFscBtmh/AcnLl23.jpg
Data Platform группа #2,https://i.postimg.cc/VNnz7Q6m/aQg84ee.jpg
Data Platform группа #3,https://i.postimg.cc/TYB8B7Bw/aY09aLh.jpg
Data Platform группа #4,https://i.postimg.cc/k5QdQQ15/bhmKPF1.png
Data Platform группа #5,https://i.postimg.cc/Vkbw6QXn/C7MTQS2.jpg
Data Platform группа #6,https://i.postimg.cc/rpXkRn9b/cwIB0Pv.jpg
Data Platform: Центр компетенций,https://i.postimg.cc/V6kHJn2p/DouC6iN.jpg
KeepRise,https://i.postimg.cc/d3tvth9V/dQK1egB.jpg
Microsoft BI,https://i.postimg.cc/PrgcSL8v/e8ylohj.jpg
Microsoft: Центр компетенций,https://i.postimg.cc/2ycYqCHF/hvWzQbJ.jpg
Qlik: Центр компетенций,https://i.postimg.cc/nVwNQSFk/i4dC8fw.jpg
"Sales, Marketing & Business Development",https://i.postimg.cc/rmTM3n0W/j3dstK9.jpg
Административно-финансовая служба,https://i.postimg.cc/VLh1mL0z/jxVMDj5.jpg
Бизнес-аналитика по работе с гос.компаниями: Центр компетенций,https://i.postimg.cc/nVRfGckq/kU6fEAx.jpg
Бизнес-аналитика. Общая практика,https://i.postimg.cc/MZdq3YWM/L7xvbKT.jpg
Группа СА РЖД,https://i.postimg.cc/9FRKPPzj/LNZ6IDM.jpg
Группа технической поддержки РЖД,https://i.postimg.cc/pdtwL9WM/MJYFkIf.jpg
Группа управления персоналом,https://i.postimg.cc/wjDrZ6hf/n9exHCS.jpg
Группа управления проектами,https://i.postimg.cc/JnpvxPbR/OUkIMHz.jpg
Группа Центров Компетенций,https://i.postimg.cc/VvVyfD6K/q8m1o4x.jpg
Группа Центров Компетенций 2,https://i.postimg.cc/Rh885hs8/QBOCy4G.jpg
Департамент аналитических решений,https://i.postimg.cc/tgtLZXJZ/QfFtnnx.jpg
Импортозамещенные технологии BI: Центр компетенций,https://i.postimg.cc/HnjKhX2X/WHVQriB.jpg
Направление BI,https://i.postimg.cc/85bNSRMY/WjChOS5.jpg
Направление DG&DQ,https://i.postimg.cc/rsmX2v8d/wnrInMw.jpg
Направление DWH&ML,https://i.postimg.cc/3R956KH5/xCkn55T.jpg
Направление СКИМ,https://i.postimg.cc/mDppChsD/XQiFpku.jpg
Системная Аналитика: Центр компетенций,https://i.postimg.cc/7LVWPmtS/XQwzjaS.jpg
Тестирование DWH / QA: Центр компетенций,https://i.postimg.cc/bv85jKgz/zQaefl3.jpg
Центр компетенций по управлению проектами РЖД,https://i.postimg.cc/3xLtPdkZ/undefined-1.jpg
