old_department_name,department
. . . . . . Импортозамещенные технологии BI: Центр компетенций / . . . . . Группа Центров Компетенций / . . . . Направление BI,Направление BI
. . . . Направление BI,Направление BI
. . . . . Группа Центров Компетенций,Группа Центров Компетенций
. . . . Группа технической поддержки РЖД / Support,Группа технической поддержки РЖД
. . . . . Группа Центров Компетенций 2,Группа Центров Компетенций 2
. . . . . Data Platform: Центр компетенций / . . . . . . Data Platform группа #1,Data Platform группа #1
. . Департамент аналитических решений,Департамент аналитических решений
. . . . . Data Platform: Центр компетенций / . . . . . . Data Platform группа #6,Data Platform группа #6
. . . . . Группа Центров Компетенций 2 / . . . . Направление BI,Направление BI
. . . . . Data Platform: Центр компетенций / . . . . . . Data Platform группа #4,Data Platform группа #4
. . . . . . Data Platform группа #5,Data Platform группа #5
. . . . . . Бизнес-аналитика. Общая практика,Бизнес-аналитика. Общая практика
. . . . Направление DWH&ML / . . . . . Data Platform: Центр компетенций,Направление DWH&ML
. . . . . Data Platform: Центр компетенций / . . . . . . Data Platform группа #5,Data Platform группа #5
. . . . . . Data Platform группа #1,Data Platform группа #1
. . . . Центр компетенций по управлению проектами РЖД / PM,Центр компетенций по управлению проектами РЖД
. . . . . . Импортозамещенные технологии BI: Центр компетенций,Импортозамещенные технологии BI: Центр компетенций
. . . Consulting & Delivery,Consulting & Delivery
. . . Административно-финансовая служба,Административно-финансовая служба
. . . . . . Бизнес-аналитика общей практики: Центр компетенций,Бизнес-аналитика общей практики: Центр компетенций
. . . . . Data Platform: Центр компетенций,Data Platform: Центр компетенций
. . . . Направление DG&DQ,Направление DG&DQ
. . . . . . Qlik: Центр компетенций,Qlik: Центр компетенций
. . . . Направление DWH&ML,Направление DWH&ML
. . . . . . Microsoft: Центр компетенций,Microsoft: Центр компетенций
. . . . . Data Platform: Центр компетенций / . . . . . . Data Platform группа #3,Data Platform группа #3
. . . . . . Data Platform группа #4,Data Platform группа #4
. . . Группа управления персоналом,Группа управления персоналом
. . . Направление СКИМ,Направление СКИМ
. . . . SoDa,SoDa
. . . . . Тестирование DWH / QA: Центр компетенций,Тестирование DWH / QA: Центр компетенций
. . . . . Системная Аналитика: Центр компетенций,Системная Аналитика: Центр компетенций
. . . . KeepRise,KeepRise
. . . . . . Data Platform группа #2,Data Platform группа #2
. . . . . . Группа СА РЖД,Группа СА РЖД
. . . . . Data Platform: Центр компетенций / . . . . . . Data Platform группа #2,Data Platform группа #2
". . . Sales, Marketing & Business Development / SMBD","Sales, Marketing & Business Development"
. . . . . . Data Platform группа #3,Data Platform группа #3
. . . . . . . Microsoft BI,Microsoft BI
. . . . . Группа управления проектами,Группа управления проектами
. . . . . . Бизнес-аналитика по работе с гос.компаниями: Центр компетенций,Бизнес-аналитика по работе с гос.компаниями: Центр компетенций
. . . . A2 Consulting,A2 Consulting
