old_grade,new_grade,grade_level
Высшее (бакалавриат),Высшее,3
Высшее (специалитет),Высшее,3
Высшее (магистратура),Высшее,3
Кандидат наук,Высшее,3
Среднее специальное,Среднее профессиональное,2
Среднее техническое,Среднее профессиональное,2
Профессиональная переподготовка,Переподготовка,4
Не указано,Среднее общее,1
Высшее,Высшее,3
Сертификат,Переподготовка,4
Удостоверение,Переподготовка,4
Второе высшее,Высшее,3
Неполное высшее образовани],Высшее,3
Неполное высшее,Высшее,3
Повышение квалификации,Переподготовка,4
Диплом,Высшее,3
Свидетельство,Высшее,3
Профессиональная подготов,Переподготовка,4
Среднее профессиональное образование,Среднее профессиональное,2
Высшее образование,Высшее,3
Среднее (полное) общее образование,Среднее общее,1
Неполное высшее образование,Высшее,3
Дополнительное профессиональное образование,Среднее профессиональное,2
"Аспирантура, ординатура, адъюнктура",Высшее,3
Высшее техническое,Высшее,3
Высшее экономическое,Высшее,3
Высшее гуманитарное,Высшее,3
Профессиональная подготовка,Переподготовка,4
Бакалавр,Высшее,3
Начальное профессиональное образование,Среднее профессиональное,2
-,Среднее общее,1
Использовал на проекте,Novice,1
Novice,Novice,1
Junior,Junior,2
Middle,Middle,3
Senior,Senior,4
Expert,Expert,5
Я знаю специфику отрасли,Знаком,1
Я знаю специфику отрасли и переложил это на систему,Знаком и могу применить,2
"Я знаю специфику отрасли, могу переложить на систему, убедить клиента и реализовать","Знаком, могу применить и реализовать",3
Я знаю предметную область,Знаком,1
Я знаю все особенности предметной области и могу переложить это на систему,Знаком и могу применить,2
"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать","Знаком, могу применить и реализовать",3
